# C initSynchTables dump: F(x) and Ga(x)
# SYNCH_N_X=2000  SYNCH_X_MIN=1.0e-05  SYNCH_X_MAX=5.0e+01
# Columns: i  x  F(x)  Ga(x)
       i               x            F(x)           Ga(x)
       0    1.000000e-05    4.629204e-02    1.602416e+00
       1    1.007746e-05    4.641117e-02    1.602416e+00
       2    1.015552e-05    4.653061e-02    1.602416e+00
       3    1.023419e-05    4.665035e-02    1.602416e+00
       4    1.031347e-05    4.677039e-02    1.602416e+00
       5    1.039336e-05    4.689075e-02    1.602416e+00
       6    1.047386e-05    4.701142e-02    1.602416e+00
       7    1.055500e-05    4.713239e-02    1.602416e+00
       8    1.063676e-05    4.725368e-02    1.602416e+00
       9    1.071915e-05    4.737528e-02    1.602416e+00
      10    1.080218e-05    4.749719e-02    1.602416e+00
      11    1.088586e-05    4.761941e-02    1.602416e+00
      12    1.097018e-05    4.774195e-02    1.602416e+00
      13    1.105516e-05    4.786480e-02    1.602416e+00
      14    1.114080e-05    4.798797e-02    1.602416e+00
      15    1.122710e-05    4.811146e-02    1.602416e+00
      16    1.131406e-05    4.823526e-02    1.602416e+00
      17    1.140170e-05    4.835938e-02    1.602416e+00
      18    1.149002e-05    4.848382e-02    1.602416e+00
      19    1.157903e-05    4.860858e-02    1.602416e+00
      20    1.166872e-05    4.873366e-02    1.602416e+00
      21    1.175911e-05    4.885906e-02    1.602416e+00
      22    1.185020e-05    4.898478e-02    1.602416e+00
      23    1.194199e-05    4.911082e-02    1.602416e+00
      24    1.203449e-05    4.923719e-02    1.602416e+00
      25    1.212772e-05    4.936389e-02    1.602416e+00
      26    1.222166e-05    4.949091e-02    1.602416e+00
      27    1.231633e-05    4.961825e-02    1.602416e+00
      28    1.241174e-05    4.974592e-02    1.602416e+00
      29    1.250788e-05    4.987392e-02    1.602416e+00
      30    1.260477e-05    5.000225e-02    1.602416e+00
      31    1.270241e-05    5.013091e-02    1.602416e+00
      32    1.280080e-05    5.025990e-02    1.602416e+00
      33    1.289996e-05    5.038922e-02    1.602416e+00
      34    1.299988e-05    5.051887e-02    1.602416e+00
      35    1.310058e-05    5.064886e-02    1.602416e+00
      36    1.320206e-05    5.077918e-02    1.602416e+00
      37    1.330433e-05    5.090983e-02    1.602416e+00
      38    1.340739e-05    5.104082e-02    1.602416e+00
      39    1.351124e-05    5.117215e-02    1.602416e+00
      40    1.361590e-05    5.130381e-02    1.602416e+00
      41    1.372137e-05    5.143581e-02    1.602416e+00
      42    1.382766e-05    5.156815e-02    1.602416e+00
      43    1.393477e-05    5.170083e-02    1.602416e+00
      44    1.404271e-05    5.183385e-02    1.602416e+00
      45    1.415149e-05    5.196721e-02    1.602416e+00
      46    1.426111e-05    5.210092e-02    1.602416e+00
      47    1.437158e-05    5.223497e-02    1.602416e+00
      48    1.448291e-05    5.236936e-02    1.602416e+00
      49    1.459509e-05    5.250410e-02    1.602416e+00
      50    1.470815e-05    5.263918e-02    1.602416e+00
      51    1.482208e-05    5.277461e-02    1.602416e+00
      52    1.493690e-05    5.291039e-02    1.602416e+00
      53    1.505260e-05    5.304651e-02    1.602416e+00
      54    1.516920e-05    5.318299e-02    1.602416e+00
      55    1.528670e-05    5.331982e-02    1.602416e+00
      56    1.540512e-05    5.345699e-02    1.602416e+00
      57    1.552445e-05    5.359452e-02    1.602416e+00
      58    1.564470e-05    5.373241e-02    1.602416e+00
      59    1.576589e-05    5.387064e-02    1.602416e+00
      60    1.588801e-05    5.400924e-02    1.602416e+00
      61    1.601109e-05    5.414818e-02    1.602416e+00
      62    1.613511e-05    5.428749e-02    1.602416e+00
      63    1.626010e-05    5.442715e-02    1.602416e+00
      64    1.638605e-05    5.456717e-02    1.602416e+00
      65    1.651298e-05    5.470755e-02    1.602416e+00
      66    1.664089e-05    5.484829e-02    1.602416e+00
      67    1.676980e-05    5.498939e-02    1.602416e+00
      68    1.689970e-05    5.513086e-02    1.602416e+00
      69    1.703061e-05    5.527268e-02    1.602416e+00
      70    1.716253e-05    5.541487e-02    1.602416e+00
      71    1.729547e-05    5.555743e-02    1.602416e+00
      72    1.742945e-05    5.570035e-02    1.602416e+00
      73    1.756446e-05    5.584364e-02    1.602416e+00
      74    1.770051e-05    5.598729e-02    1.602416e+00
      75    1.783763e-05    5.613132e-02    1.602416e+00
      76    1.797580e-05    5.627571e-02    1.602416e+00
      77    1.811504e-05    5.642048e-02    1.602416e+00
      78    1.825537e-05    5.656562e-02    1.602416e+00
      79    1.839677e-05    5.671112e-02    1.602416e+00
      80    1.853928e-05    5.685701e-02    1.602416e+00
      81    1.868289e-05    5.700326e-02    1.602416e+00
      82    1.882761e-05    5.714990e-02    1.602416e+00
      83    1.897345e-05    5.729690e-02    1.602416e+00
      84    1.912042e-05    5.744429e-02    1.602416e+00
      85    1.926853e-05    5.759205e-02    1.602416e+00
      86    1.941779e-05    5.774020e-02    1.602416e+00
      87    1.956820e-05    5.788872e-02    1.602416e+00
      88    1.971978e-05    5.803763e-02    1.602416e+00
      89    1.987254e-05    5.818691e-02    1.602416e+00
      90    2.002647e-05    5.833658e-02    1.602416e+00
      91    2.018160e-05    5.848663e-02    1.602416e+00
      92    2.033793e-05    5.863707e-02    1.602416e+00
      93    2.049547e-05    5.878790e-02    1.602416e+00
      94    2.065423e-05    5.893911e-02    1.602416e+00
      95    2.081423e-05    5.909071e-02    1.602416e+00
      96    2.097546e-05    5.924270e-02    1.602416e+00
      97    2.113794e-05    5.939507e-02    1.602416e+00
      98    2.130167e-05    5.954784e-02    1.602416e+00
      99    2.146668e-05    5.970100e-02    1.602416e+00
